Function,Initialization,Mutation,OptValue
Sphere-2d,cahotic,ABC/best/2,4.45183389950014e-12
Sphere-2d,cahotic,ABC/best/2,1.0528325486385377e-10
Sphere-2d,cahotic,ABC/best/2,1.9670463214807864e-09
Sphere-2d,cahotic,ABC/best/2,1.656163678010925e-11
Sphere-2d,cahotic,ABC/best/2,3.815383051870209e-10
Sphere-2d,cahotic,ABC/best/2,3.9449480515584636e-10
Sphere-2d,cahotic,ABC/best/2,6.778501181276679e-11
Sphere-2d,cahotic,ABC/best/2,2.7035501092955986e-12
Sphere-2d,cahotic,ABC/best/2,5.323372493613131e-11
Sphere-2d,cahotic,ABC/best/2,2.3782343515639885e-09
Sphere-2d,cahotic,ABC/best/2,1.4259943828891661e-10
Sphere-2d,cahotic,ABC/best/2,8.611903614921977e-11
Sphere-2d,cahotic,ABC/best/2,3.613951414319923e-10
Sphere-2d,cahotic,ABC/best/2,2.431105317759525e-10
Sphere-2d,cahotic,ABC/best/2,4.12585733395889e-11
Rosenbrock-2d,random,StandardABC,0.1024280689719212
Rosenbrock-2d,random,StandardABC,0.009385508924032079
Rosenbrock-2d,random,StandardABC,0.030645568842098844
Rosenbrock-2d,random,StandardABC,0.0005490598421709289
Rosenbrock-2d,random,StandardABC,0.10303091671721815
Rosenbrock-2d,random,StandardABC,0.04644596826114343
Rosenbrock-2d,random,StandardABC,0.010111988158974902
Rosenbrock-2d,random,StandardABC,0.08739126728424058
Rosenbrock-2d,random,StandardABC,0.11447827634698882
Rosenbrock-2d,random,StandardABC,0.0006595205685272087
Rosenbrock-2d,random,StandardABC,0.12243148776639029
Rosenbrock-2d,random,StandardABC,0.023869209200076427
Rosenbrock-2d,random,StandardABC,0.11327458928890158
Rosenbrock-2d,random,StandardABC,0.11371772231200708
Rosenbrock-2d,random,StandardABC,0.00016904933991543543
Rosenbrock-2d,cahotic,StandardABC,0.017442992692630766
Rosenbrock-2d,cahotic,StandardABC,0.025051653268747143
Rosenbrock-2d,cahotic,StandardABC,0.0005913007907466842
Rosenbrock-2d,cahotic,StandardABC,0.001033035993482224
Rosenbrock-2d,cahotic,StandardABC,0.004534813269335923
Rosenbrock-2d,cahotic,StandardABC,0.0014022589845586952
Rosenbrock-2d,cahotic,StandardABC,0.00270949518629032
Rosenbrock-2d,cahotic,StandardABC,0.01360106029705383
Rosenbrock-2d,cahotic,StandardABC,0.003930032230122566
Rosenbrock-2d,cahotic,StandardABC,0.15890599076524883
Rosenbrock-2d,cahotic,StandardABC,0.0008802921343406168
Rosenbrock-2d,cahotic,StandardABC,0.00014712925743164162
Rosenbrock-2d,cahotic,StandardABC,0.010793507855369205
Rosenbrock-2d,cahotic,StandardABC,0.0003401986730458733
Rosenbrock-2d,cahotic,StandardABC,0.005182288098403349
Rosenbrock-2d,random,ModifiedABC,3.2652822913302095e-05
Rosenbrock-2d,random,ModifiedABC,0.00018944378113985142
Rosenbrock-2d,random,ModifiedABC,0.00014037085661926845
Rosenbrock-2d,random,ModifiedABC,0.00013119669098372492
Rosenbrock-2d,random,ModifiedABC,0.003432180183009263
Rosenbrock-2d,random,ModifiedABC,5.924501401693423e-05
Rosenbrock-2d,random,ModifiedABC,0.0005253498860117985
Rosenbrock-2d,random,ModifiedABC,7.019997974893585e-05
Rosenbrock-2d,random,ModifiedABC,0.0002780721516035716
Rosenbrock-2d,random,ModifiedABC,4.2568154434101876e-05
Rosenbrock-2d,random,ModifiedABC,0.0007432038767314139
Rosenbrock-2d,random,ModifiedABC,8.635071713973055e-05
Rosenbrock-2d,random,ModifiedABC,0.00017354148990758773
Rosenbrock-2d,random,ModifiedABC,0.0005914838064177766
Rosenbrock-2d,random,ModifiedABC,0.0013104943067016248
Rosenbrock-2d,cahotic,ModifiedABC,0.009373432642328055
Rosenbrock-2d,cahotic,ModifiedABC,0.026516044168006937
