Function,Initialization,Mutation,OptValue
Sphere-2d,cahotic,ABC/best/2,1.1014898270512378e-09
Sphere-2d,cahotic,ABC/best/2,2.4612625600109135e-09
Sphere-2d,cahotic,ABC/best/2,1.6828728237674842e-10
Sphere-2d,cahotic,ABC/best/2,2.390426496428121e-10
Sphere-2d,cahotic,ABC/best/2,1.1624194292424634e-10
Sphere-2d,cahotic,ABC/best/2,1.1348216663431882e-09
Sphere-2d,cahotic,ABC/best/2,3.440157070069886e-12
Sphere-2d,cahotic,ABC/best/2,1.6372787603954195e-10
Sphere-2d,cahotic,ABC/best/2,3.893169503045246e-10
Sphere-2d,cahotic,ABC/best/2,8.449983493700415e-12
Sphere-2d,cahotic,ABC/best/2,4.441538034361948e-11
Sphere-2d,cahotic,ABC/best/2,2.1692984013282842e-13
Sphere-2d,cahotic,ABC/best/2,4.961471665485852e-11
Sphere-2d,cahotic,ABC/best/2,1.3110834837514252e-11
Sphere-2d,cahotic,ABC/best/2,2.8188304316985347e-10
Sphere-2d,random,DirectedABC,4.2436510886090317e-16
Sphere-2d,random,DirectedABC,1.0986912614272407e-13
Sphere-2d,random,DirectedABC,3.256140142221953e-15
Sphere-2d,random,DirectedABC,1.935064346434531e-14
Sphere-2d,random,DirectedABC,5.728832539629628e-15
Sphere-2d,random,DirectedABC,2.154999878836382e-12
Sphere-2d,random,DirectedABC,4.970016318790373e-13
Sphere-2d,random,DirectedABC,1.0829817075630631e-13
Sphere-2d,random,DirectedABC,4.1762763157318327e-13
Sphere-2d,random,DirectedABC,5.718786485134665e-15
Sphere-2d,random,DirectedABC,5.745110153611512e-13
Sphere-2d,random,DirectedABC,4.393203724240849e-14
Sphere-2d,random,DirectedABC,2.0558122540287884e-14
Sphere-2d,random,DirectedABC,9.173405147466748e-12
Sphere-2d,random,DirectedABC,2.155291470466729e-13
Sphere-2d,cahotic,DirectedABC,5.5477239953484563e-14
Sphere-2d,cahotic,DirectedABC,1.680399467343014e-13
Sphere-2d,cahotic,DirectedABC,3.814139414190551e-12
Sphere-2d,cahotic,DirectedABC,1.6054901164735302e-12
Sphere-2d,cahotic,DirectedABC,7.429287347277745e-13
Sphere-2d,cahotic,DirectedABC,1.5097659778784662e-12
Sphere-2d,cahotic,DirectedABC,3.603809362114861e-13
Sphere-2d,cahotic,DirectedABC,2.703692236558896e-16
Sphere-2d,cahotic,DirectedABC,6.316470083929167e-13
Sphere-2d,cahotic,DirectedABC,4.483804389179719e-14
Sphere-2d,cahotic,DirectedABC,1.1189333206732752e-14
Sphere-2d,cahotic,DirectedABC,1.6810210430395102e-13
Sphere-2d,cahotic,DirectedABC,2.313897366427459e-14
Sphere-2d,cahotic,DirectedABC,4.008828496622901e-11
Sphere-2d,cahotic,DirectedABC,7.810189850391288e-14
Rosenbrock-2d,random,StandardABC,0.12793532251980302
Rosenbrock-2d,random,StandardABC,0.0018733934955350669
Rosenbrock-2d,random,StandardABC,0.11210432897491798
Rosenbrock-2d,random,StandardABC,0.12454301950931458
Rosenbrock-2d,random,StandardABC,0.012015970293831411
Rosenbrock-2d,random,StandardABC,0.00035688411186120456
Rosenbrock-2d,random,StandardABC,0.018724320471863173
Rosenbrock-2d,random,StandardABC,0.0006866751225958292
Rosenbrock-2d,random,StandardABC,0.06300721431861872
Rosenbrock-2d,random,StandardABC,0.002271099412956605
Rosenbrock-2d,random,StandardABC,0.052959560076418714
Rosenbrock-2d,random,StandardABC,0.12071212028582169
Rosenbrock-2d,random,StandardABC,0.018080537183732738
Rosenbrock-2d,random,StandardABC,0.11349576647630653
Rosenbrock-2d,random,StandardABC,0.08622363305872915
Rosenbrock-2d,cahotic,StandardABC,0.007591881572971247
Rosenbrock-2d,cahotic,StandardABC,0.0003970701232194858
Rosenbrock-2d,cahotic,StandardABC,0.0008191615236959511
Rosenbrock-2d,cahotic,StandardABC,9.564080271133551e-05
Rosenbrock-2d,cahotic,StandardABC,0.002026840932416694
Rosenbrock-2d,cahotic,StandardABC,0.0031498992366245752
Rosenbrock-2d,cahotic,StandardABC,0.0017413764544228145
Rosenbrock-2d,cahotic,StandardABC,0.00023888055688889566
Rosenbrock-2d,cahotic,StandardABC,5.423769284493672e-05
Rosenbrock-2d,cahotic,StandardABC,0.0002581133700603133
Rosenbrock-2d,cahotic,StandardABC,3.0011828842437075e-05
Rosenbrock-2d,cahotic,StandardABC,0.00893478313178638
Rosenbrock-2d,cahotic,StandardABC,0.00390300381880048
Rosenbrock-2d,cahotic,StandardABC,0.00016327245227715578
