Function,Initialization,Diversity
Ackley-10d,cahotic,3.248536505679912
Ackley-10d,cahotic,3.5550153098459383
Ackley-10d,cahotic,3.53622204600017
Ackley-10d,cahotic,3.268442596176504
Rastrigin-10d,random,2.961232343787949
Rastrigin-10d,random,2.924768820075694
Rastrigin-10d,random,2.9047578714376887
Rastrigin-10d,random,2.915346843516917
Rastrigin-10d,random,2.872483717869114
Rastrigin-10d,random,2.8944972266360014
Rastrigin-10d,random,2.8246953199682205
Rastrigin-10d,random,2.7504904140341244
Rastrigin-10d,random,2.860871229219388
Rastrigin-10d,random,2.9120424643057525
Rastrigin-10d,random,2.8397744557905353
Rastrigin-10d,random,2.8595736572255777
Rastrigin-10d,random,2.881841683419083
Rastrigin-10d,random,2.923063836188232
Rastrigin-10d,random,2.965521733317499
Rastrigin-10d,cahotic,3.464915987424101
Rastrigin-10d,cahotic,3.2730302820001964
Rastrigin-10d,cahotic,3.5417234400897954
Rastrigin-10d,cahotic,3.3118495553649456
Rastrigin-10d,cahotic,3.3027907442036986
Rastrigin-10d,cahotic,3.3366797851959085
Rastrigin-10d,cahotic,3.251481154933431
Rastrigin-10d,cahotic,3.3801973219584363
Rastrigin-10d,cahotic,3.435889506682557
Rastrigin-10d,cahotic,3.3079796008871476
Rastrigin-10d,cahotic,3.368886273951539
Rastrigin-10d,cahotic,3.2653096980656646
Rastrigin-10d,cahotic,3.334069127857823
Rastrigin-10d,cahotic,3.4982168746020723
Rastrigin-10d,cahotic,3.3614035627608985
Weierstrass-10d,random,0.28433227088274793
Weierstrass-10d,random,0.29285984255765113
Weierstrass-10d,random,0.27885521638496774
Weierstrass-10d,random,0.284588280562145
Weierstrass-10d,random,0.2814279542436751
Weierstrass-10d,random,0.2822993080068394
Weierstrass-10d,random,0.276049114732535
Weierstrass-10d,random,0.28200629979432884
Weierstrass-10d,random,0.28834626115874934
Weierstrass-10d,random,0.27889774406924156
Weierstrass-10d,random,0.2780646555156038
Weierstrass-10d,random,0.2848076906559085
Weierstrass-10d,random,0.2726877499360778
Weierstrass-10d,random,0.26711936802216857
Weierstrass-10d,random,0.28214708011488865
Weierstrass-10d,cahotic,0.3220322259759354
Weierstrass-10d,cahotic,0.3244374687978588
Weierstrass-10d,cahotic,0.32058864592312963
Weierstrass-10d,cahotic,0.32535346986034985
Weierstrass-10d,cahotic,0.3316430016732956
Weierstrass-10d,cahotic,0.32403525491178675
Weierstrass-10d,cahotic,0.31469358341835113
Weierstrass-10d,cahotic,0.3182954682382895
Weierstrass-10d,cahotic,0.3294666214436344
Weierstrass-10d,cahotic,0.31421268932339635
Weierstrass-10d,cahotic,0.32080150301126403
Weierstrass-10d,cahotic,0.3157578073619953
Weierstrass-10d,cahotic,0.3193094192196381
Weierstrass-10d,cahotic,0.3173341231088579
Weierstrass-10d,cahotic,0.31125869526146116
Griewank-10d,random,339.4205866987613
Griewank-10d,random,348.6009236501673
Griewank-10d,random,337.11012978505846
Griewank-10d,random,343.0521129312822
Griewank-10d,random,340.1615014074837
Griewank-10d,random,323.2326481879592
Griewank-10d,random,340.2587991039185
Griewank-10d,random,346.84779256867836
Griewank-10d,random,342.26728766638996
Griewank-10d,random,351.70367815440244
Griewank-10d,random,340.23408454011206
Griewank-10d,random,335.2510849350671
Griewank-10d,random,358.3493167039934
Griewank-10d,random,343.4087908859879
Griewank-10d,random,342.0513725062182
Griewank-10d,cahotic,379.0134893548283
Griewank-10d,cahotic,377.1305475250892
Griewank-10d,cahotic,378.558087022862
Griewank-10d,cahotic,378.68050690632776
Griewank-10d,cahotic,374.186556008635
Griewank-10d,cahotic,382.12124887913683
Griewank-10d,cahotic,371.62352720320564
Griewank-10d,cahotic,384.7654662399564
Griewank-10d,cahotic,380.63388481738315
Griewank-10d,cahotic,379.813425194345
Griewank-10d,cahotic,387.38716889679637
Griewank-10d,cahotic,385.6116032346944
Griewank-10d,cahotic,389.1584525007826
Griewank-10d,cahotic,363.92272777273
Griewank-10d,cahotic,375.85619717244373
Schwefel-10d,random,278.0034094465236
Schwefel-10d,random,278.89124924095364
Schwefel-10d,random,288.9145556290264
Schwefel-10d,random,283.619354193943
Schwefel-10d,random,283.89427615120314
Schwefel-10d,random,280.14670319633257
Schwefel-10d,random,281.4677654313114
Schwefel-10d,random,287.2502237784574
Schwefel-10d,random,281.52091175999914
Schwefel-10d,random,280.74375476377224
Schwefel-10d,random,286.1912387755211
Schwefel-10d,random,289.3521146269318
Schwefel-10d,random,296.16255930414815
Schwefel-10d,random,281.1777168983175
Schwefel-10d,random,282.22324263679786
Schwefel-10d,cahotic,342.5700920834199
Schwefel-10d,cahotic,354.7672081803766
Schwefel-10d,cahotic,351.75090484853087
Schwefel-10d,cahotic,350.783023785455
Schwefel-10d,cahotic,350.6256901335809
Schwefel-10d,cahotic,352.51357401411155
Schwefel-10d,cahotic,352.9106123511068
Schwefel-10d,cahotic,339.8373672910051
Schwefel-10d,cahotic,351.817201067233
Schwefel-10d,cahotic,337.0575952780471
Schwefel-10d,cahotic,341.4230175182251
Schwefel-10d,cahotic,344.64544897586757
Schwefel-10d,cahotic,345.5555602582271
Schwefel-10d,cahotic,347.8491926031246
Schwefel-10d,cahotic,350.34001908323427
Sumsquares-10d,random,5.577678007657564
Sumsquares-10d,random,5.258915246540474
Sumsquares-10d,random,5.399906626605774
Sumsquares-10d,random,5.682922157531618
Sumsquares-10d,random,5.68175987234923
Sumsquares-10d,random,5.63266714886518
Sumsquares-10d,random,5.5911134739375905
Sumsquares-10d,random,5.5199524636293935
Sumsquares-10d,random,5.547750793084383
Sumsquares-10d,random,5.765865024257576
Sumsquares-10d,random,5.782982909676196
Sumsquares-10d,random,5.440759805068033
Sumsquares-10d,random,5.676230598323372
Sumsquares-10d,random,5.655930824706893
Sumsquares-10d,random,5.576636613243119
Sumsquares-10d,cahotic,6.161525321668973
Sumsquares-10d,cahotic,6.6261925721445145
Sumsquares-10d,cahotic,6.630968772415958
Sumsquares-10d,cahotic,6.499595252309019
Sumsquares-10d,cahotic,6.332781563536532
Sumsquares-10d,cahotic,6.468118305247442
Sumsquares-10d,cahotic,6.636886324361024
Sumsquares-10d,cahotic,6.475020905385175
Sumsquares-10d,cahotic,6.385462233529331
Sumsquares-10d,cahotic,6.531455029776962
Sumsquares-10d,cahotic,6.552810403803326
Sumsquares-10d,cahotic,6.411081614757158
Sumsquares-10d,cahotic,6.664915625160614
Sumsquares-10d,cahotic,6.5366131597971675
Sumsquares-10d,cahotic,6.5481770766739045
Sphere-30d,random,3.0063220246030387
Sphere-30d,random,2.921625344860477
Sphere-30d,random,2.9290402573933103
Sphere-30d,random,2.924634594237046
Sphere-30d,random,2.9529920764136683
Sphere-30d,random,2.890752807340635
Sphere-30d,random,2.9625136564540524
Sphere-30d,random,2.8825090957700983
Sphere-30d,random,2.966406432774083
Sphere-30d,random,2.9246961761325343
Sphere-30d,random,2.9442419501363095
Sphere-30d,random,2.933227447481239
Sphere-30d,random,2.9690636130329167
Sphere-30d,random,2.9221079472144464
Sphere-30d,random,2.9110965709183443
Sphere-30d,cahotic,3.377036585966988
Sphere-30d,cahotic,3.4112726794305424
Sphere-30d,cahotic,3.4207504781510005
Sphere-30d,cahotic,3.448761811745401
Sphere-30d,cahotic,3.456691328623532
Sphere-30d,cahotic,3.38483024853806
Sphere-30d,cahotic,3.386175384004261
Sphere-30d,cahotic,3.4583963376966693
Sphere-30d,cahotic,3.5049633838567944
Sphere-30d,cahotic,3.4430748593340788
Sphere-30d,cahotic,3.450430449375295
Sphere-30d,cahotic,3.4850349491349077
Sphere-30d,cahotic,3.506537500558957
Sphere-30d,cahotic,3.4007469003028077
Sphere-30d,cahotic,3.428518594722624
Rosenbrock-30d,random,1.1470241211095098
Rosenbrock-30d,random,1.1611952686823197
Rosenbrock-30d,random,1.156727622083708
Rosenbrock-30d,random,1.1461078303411407
Rosenbrock-30d,random,1.1679632486036298
Rosenbrock-30d,random,1.2053029167922087
Rosenbrock-30d,random,1.1820705271518155
Rosenbrock-30d,random,1.1425469756700566
Rosenbrock-30d,random,1.1519419579429855
Rosenbrock-30d,random,1.1671431173890232
Rosenbrock-30d,random,1.1822741198735647
Rosenbrock-30d,random,1.1446367709213086
Rosenbrock-30d,random,1.1929282532386798
Rosenbrock-30d,random,1.172381993142566
Rosenbrock-30d,random,1.1555790956227097
Rosenbrock-30d,cahotic,1.3850019299407492
Rosenbrock-30d,cahotic,1.3774580494383437
Rosenbrock-30d,cahotic,1.3810382664960874
Rosenbrock-30d,cahotic,1.3953530201275681
Rosenbrock-30d,cahotic,1.3790573302013345
Rosenbrock-30d,cahotic,1.401511239905872
Rosenbrock-30d,cahotic,1.3885362469488287
Rosenbrock-30d,cahotic,1.371405134737062
Rosenbrock-30d,cahotic,1.3813697562972567
Rosenbrock-30d,cahotic,1.4003862335060953
Rosenbrock-30d,cahotic,1.3853978430195517
Rosenbrock-30d,cahotic,1.3929925584042726
Rosenbrock-30d,cahotic,1.386641697857125
Rosenbrock-30d,cahotic,1.3678158425170313
Rosenbrock-30d,cahotic,1.3734757267397182
Ackley-30d,random,2.8667444002978812
Ackley-30d,random,2.8208216984222987
Ackley-30d,random,2.8855119304022936
Ackley-30d,random,2.857463935775115
Ackley-30d,random,2.829200244053538
Ackley-30d,random,2.8502077798386263
Ackley-30d,random,2.8915117802388917
Ackley-30d,random,2.8387921155550684
Ackley-30d,random,2.8737571226277163
Ackley-30d,random,2.824037431302464
Ackley-30d,random,2.80699620355732
Ackley-30d,random,2.863029613057457
Ackley-30d,random,2.8227413882669805
Ackley-30d,random,2.866810729718409
Ackley-30d,random,2.853308647180794
Ackley-30d,cahotic,3.4613671123727996
Ackley-30d,cahotic,3.488080322641445
Ackley-30d,cahotic,3.529364857348304
Ackley-30d,cahotic,3.438134045612263
Ackley-30d,cahotic,3.4351857641357797
Ackley-30d,cahotic,3.4935468946618853
Ackley-30d,cahotic,3.5061435083014643
Ackley-30d,cahotic,3.4234857129833154
Ackley-30d,cahotic,3.5882694163627917
Ackley-30d,cahotic,3.4922443630049584
Ackley-30d,cahotic,3.527398517909979
Ackley-30d,cahotic,3.4765378109108815
Ackley-30d,cahotic,3.5503230926305815
Ackley-30d,cahotic,3.4957884156486614
Ackley-30d,cahotic,3.4836788724983467
Rastrigin-30d,random,2.9273964866446303
Rastrigin-30d,random,2.8893505168169344
Rastrigin-30d,random,2.890271002996302
Rastrigin-30d,random,2.928270378714264
Rastrigin-30d,random,2.8458368490316297
Rastrigin-30d,random,2.9504789355215877
Rastrigin-30d,random,2.932123334867335
Rastrigin-30d,random,2.9270593299545373
Rastrigin-30d,random,2.917244755870283
Rastrigin-30d,random,2.9321498667857524
Rastrigin-30d,random,2.87488642154121
Rastrigin-30d,random,2.9055535971473074
Rastrigin-30d,random,2.936994686931474
Rastrigin-30d,random,2.8735469588845306
Rastrigin-30d,random,2.955272954500062
Rastrigin-30d,cahotic,3.519297714841175
Rastrigin-30d,cahotic,3.4942329835721933
Rastrigin-30d,cahotic,3.4175355184151703
Rastrigin-30d,cahotic,3.561054791363422
Rastrigin-30d,cahotic,3.4809953535992673
Rastrigin-30d,cahotic,3.53256154710556
Rastrigin-30d,cahotic,3.4562821533526926
Rastrigin-30d,cahotic,3.5117746792762916
Rastrigin-30d,cahotic,3.559700819809479
Rastrigin-30d,cahotic,3.5092434260252396
Rastrigin-30d,cahotic,3.436250890342711
Rastrigin-30d,cahotic,3.539718953607288
Rastrigin-30d,cahotic,3.494827774648925
Rastrigin-30d,cahotic,3.451606297574876
Rastrigin-30d,cahotic,3.4436020443123505
Weierstrass-30d,random,0.28299117690692016
Weierstrass-30d,random,0.28277644304606303
Weierstrass-30d,random,0.2885515851824599
Weierstrass-30d,random,0.28678608660612054
Weierstrass-30d,random,0.27843619553642973
Weierstrass-30d,random,0.2802195489657106
Weierstrass-30d,random,0.2825146537218587
Weierstrass-30d,random,0.28816577149603756
Weierstrass-30d,random,0.2857877569493957
Weierstrass-30d,random,0.28622900236134297
Weierstrass-30d,random,0.28889342262866163
Weierstrass-30d,random,0.28008160230945195
Weierstrass-30d,random,0.2807905257715537
Weierstrass-30d,random,0.2868030945213833
Weierstrass-30d,random,0.28477854557683235
Weierstrass-30d,cahotic,0.34046818840540594
Weierstrass-30d,cahotic,0.3346676950833576
Weierstrass-30d,cahotic,0.3344192683027537
Weierstrass-30d,cahotic,0.3389759214330485
Weierstrass-30d,cahotic,0.3421036386079019
Weierstrass-30d,cahotic,0.33544457890047924
Weierstrass-30d,cahotic,0.3375731860194
Weierstrass-30d,cahotic,0.3356418567557982
Weierstrass-30d,cahotic,0.34019552960957705
Weierstrass-30d,cahotic,0.34288773265116546
Weierstrass-30d,cahotic,0.3343790163243617
Weierstrass-30d,cahotic,0.340916321444003
Weierstrass-30d,cahotic,0.34434449022463526
Weierstrass-30d,cahotic,0.3412183096650285
Weierstrass-30d,cahotic,0.3332602088136864
